student_id,student_name,class,section,month,fee_due,fee_paid,days_delayed,default_prob,predicted_delay_days,risk_score
00881816,Sara Tella,6,B,2022-01,14761,14761,7,8.2272636e-05,7.0805264,1.1
00881816,Akarsh Deshmukh,6,B,2022-02,6177,6177,6,8.2272636e-05,5.9309087,0.9
00881816,Baiju Jha,6,B,2022-03,3678,3678,7,8.2272636e-05,6.2414293,1.0
00881816,Taimur Khare,6,B,2022-04,5140,5140,23,8.2272636e-05,12.564278,2.0
00881816,Kiara Tak,6,B,2022-05,11246,11246,5,8.2272636e-05,12.564278,2.0
00881816,Aaryahi Mangal,6,B,2022-06,4532,4532,10,8.2272636e-05,12.850777,2.1
00881816,Advika Chaudhry,6,B,2022-07,9847,9847,14,8.2272636e-05,9.078065,1.4
00881816,Mishti Kalla,6,B,2022-08,8496,8496,3,8.2272636e-05,8.385806,1.3
00881816,Anaya Ghosh,6,B,2022-09,3770,3770,19,8.2272636e-05,12.564278,2.0
00881816,Uthkarsh Lall,6,B,2022-10,9670,9670,11,8.2272636e-05,11.768446,1.9
00881816,Lagan Ahuja,6,B,2022-11,7152,7152,8,8.2272636e-05,12.850777,2.1
00881816,Samiha Saxena,6,B,2022-12,9485,9485,24,8.2272636e-05,13.811014,2.2
00881816,Nishith Kannan,6,B,2023-01,6228,6228,4,8.2272636e-05,12.564278,2.0
00881816,Ranbir Kurian,6,B,2023-02,3047,2458,32,0.99991775,38.482,77.0
00881816,Manikya Ramesh,6,B,2023-03,3941,3941,12,8.2272636e-05,12.767976,2.1
00881816,Indranil Bajaj,6,B,2023-04,8643,8643,14,8.2272636e-05,13.684835,2.2
00881816,Aarna Dugar,6,B,2023-05,14718,12611,31,0.99991775,39.70887,77.2
00881816,Ivana Bakshi,6,B,2023-06,6781,6781,25,8.2272636e-05,12.789305,2.1
00881816,Anaya Krishnan,6,B,2023-07,10208,10208,13,8.2272636e-05,12.396974,2.0
00881816,Mamooty Bansal,6,B,2023-08,10486,10486,20,8.2272636e-05,12.421448,2.0
00881816,Ela Divan,6,B,2023-09,10530,10530,8,8.2272636e-05,10.546298,1.7
00881816,Yuvraj  Venkataraman,6,B,2023-10,8830,8830,11,8.2272636e-05,11.03604,1.8
00881816,Hiran Shankar,6,B,2023-11,9518,9518,0,8.2272636e-05,6.1742134,1.0
00881816,Urvi Bumb,6,B,2023-12,12577,12577,1,8.2272636e-05,3.8657293,0.6
00881816,Adah Sur,6,B,2024-01,4572,4572,26,8.2272636e-05,8.475271,1.3
00881816,Siya Subramaniam,6,B,2024-02,13012,13012,0,8.2272636e-05,8.475271,1.3
00881816,Yakshit Savant,6,B,2024-03,11802,11802,2,8.2272636e-05,9.16753,1.5
00881816,Jiya Shanker,6,B,2024-04,6674,6674,23,8.2272636e-05,8.475271,1.3
00881816,Biju Suri,6,B,2024-05,5163,5163,0,8.2272636e-05,8.475271,1.3
00881816,Samaira Kunda,6,B,2024-06,4163,4163,4,8.2272636e-05,8.475271,1.3
00881816,Raunak Agrawal,6,B,2024-07,14203,14203,13,8.2272636e-05,5.3812976,0.8
00881816,Fateh Sharaf,6,B,2024-08,3375,3375,13,8.2272636e-05,10.002806,1.6
00881816,Yashvi Boase,6,B,2024-09,13678,13678,22,8.2272636e-05,11.458332,1.8
00881816,Krish Dua,6,B,2024-10,5652,5652,10,8.2272636e-05,11.580115,1.9
00881816,Shaan Sura,6,B,2024-11,12801,12801,10,8.2272636e-05,11.35174,1.8
00881816,Dhruv Barad,6,B,2024-12,4468,4468,19,8.2272636e-05,11.03604,1.8
01c26116,Devansh Zacharia,4,A,2022-01,9383,9383,11,8.2272636e-05,12.018373,1.9
01c26116,Madhav Suri,4,A,2022-02,8188,5423,35,0.99991775,45.296932,78.1
01c26116,Shamik Kurian,4,A,2022-03,4499,4499,14,8.2272636e-05,12.70336,2.1
01c26116,Manjari Kamdar,4,A,2022-04,3085,3085,8,8.2272636e-05,12.353581,2.0
01c26116,Keya Doshi,4,A,2022-05,8050,5636,67,0.99991775,53.58317,79.5
01c26116,Bhavin Chopra,4,A,2022-06,7419,7419,2,8.2272636e-05,13.461291,2.2
01c26116,Gokul Goel,4,A,2022-07,4674,4674,9,8.2272636e-05,13.461291,2.2
01c26116,Renee Mahal,4,A,2022-08,5170,5170,0,8.2272636e-05,3.312742,0.5
01c26116,Navya Chokshi,4,A,2022-09,4430,4430,24,8.2272636e-05,10.754013,1.7
01c26116,Nitara Mane,4,A,2022-10,6070,4212,45,0.99991775,45.53432,78.2
01c26116,Renee Agate,4,A,2022-11,12125,12125,5,8.2272636e-05,13.224376,2.1
01c26116,Samaira Mall,4,A,2022-12,12088,8831,35,0.99991775,52.344433,79.3
01c26116,Jayesh Rana,4,A,2023-01,4692,4692,6,8.2272636e-05,11.807662,1.9
01c26116,Nirvaan Dey,4,A,2023-02,3430,1853,43,0.99991775,50.041363,78.9
01c26116,Taran Srinivasan,4,A,2023-03,12080,12080,25,8.2272636e-05,13.063798,2.1
01c26116,Ishaan Sankaran,4,A,2023-04,4524,4524,29,8.2272636e-05,13.975411,2.3
01c26116,Zeeshan Dalal,4,A,2023-05,12780,12780,0,8.2272636e-05,12.280756,2.0
01c26116,Kimaya Jaggi,4,A,2023-06,12798,10916,59,0.99991775,52.54414,79.3
01c26116,Lakshay Sathe,4,A,2023-07,9311,9311,23,8.2272636e-05,13.136458,2.1
01c26116,Rhea Sagar,4,A,2023-08,3202,3202,6,8.2272636e-05,13.242364,2.1
01c26116,Baiju Joshi,4,A,2023-09,7781,5339,31,0.99991775,41.286663,77.5
01c26116,Indrajit Chaudhry,4,A,2023-10,4387,4387,5,8.2272636e-05,11.573654,1.9
01c26116,Biju Varughese,4,A,2023-11,14875,13469,37,0.99991775,46.091507,78.3
01c26116,Indrajit Karnik,4,A,2023-12,6977,6977,2,8.2272636e-05,11.378308,1.8
01c26116,Mishti Khatri,4,A,2024-01,12370,12370,21,8.2272636e-05,12.477395,2.0
01c26116,Onkar Dugal,4,A,2024-02,11537,11537,14,8.2272636e-05,11.226272,1.8
01c26116,Aarna Devi,4,A,2024-03,5778,5778,1,8.2272636e-05,11.226272,1.8
01c26116,Neelofar Upadhyay,4,A,2024-04,14228,14228,4,8.2272636e-05,6.239913,1.0
01c26116,Sahil Das,4,A,2024-05,9237,9237,0,8.2272636e-05,1.8596349,0.2
01c26116,Kismat Bahri,4,A,2024-06,5777,5777,11,8.2272636e-05,5.3143945,0.8
